Source;Length
Small site;1,23
Small site;2,482
Small site;2,51
Small site;1,787
Small site;1,853
Small site;1,457
Small site;1,419
Small site;1,611
Small site;2,087
Small site;1,751
Small site;2,671
Small site;2,73
Small site;1,558
Small site;4,379
Small site;4,774
Small site;4,805
Small site;4,967
Small site;3,329
Small site;3,45
Small site;3,234
Small site;3,335
Small site;3,47
Small site;2,049
Small site;1,822
Small site;1,904
Small site;1,296
Small site;0,182
Small site;0,199
Small site;3,159
Small site;1,393
Small site;0,088
Small site;0,184
Small site;0,604
Small site;0,627
Small site;0,651
Small site;2,108
Small site;1,999
Small site;1,556
Small site;1,703
Small site;1,738
Small site;1,928
Small site;2,042
Small site;1,811
Small site;2,083
Small site;0,459
Small site;1,009
Small site;0,088
Small site;0,186
Small site;0,595
Small site;1,183
Small site;1,245
Small site;1,436
Small site;0,638
Small site;1,964
Small site;0,543
Small site;0,346
Small site;0,204
Small site;0,186
Small site;1,517
Small site;1,449
